Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
00164,19900602,20230525,54,53.0316,13.9908,Angermuende,Brandenburg
00183,19900602,20230525,42,54.6791,13.4344,Arkona,Mecklenburg-Vorpommern
00198,19900602,20230525,164,51.3744,11.292,Artern,Thueringen
00232,19900701,20230525,462,48.4253,10.9417,Augsburg,Bayern
00282,19900701,20230525,240,49.8743,10.9206,Bamberg,Bayern
00298,19900622,20230525,3,54.3405,12.7108,Barth,Mecklenburg-Vorpommern
00427,19900602,20230525,46,52.3807,13.5306,Berlin Brandenburg,Brandenburg
00430,19760101,20210505,36,52.5644,13.3088,Berlin-Tegel,Berlin
00591,19900604,20230525,45,53.3911,10.6878,Boizenburg,Mecklenburg-Vorpommern
00596,19900602,20230525,15,54.0027,11.1908,Boltenhagen,Mecklenburg-Vorpommern
00656,19900701,20230525,607,51.7234,10.6021,Braunlage,Niedersachsen
00662,19900701,20230519,81,52.2915,10.4464,Braunschweig,Niedersachsen
00691,19900701,20230525,4,53.0451,8.7981,Bremen,Bremen
00701,19900701,20230525,7,53.5332,8.5761,Bremerhaven,Bremen
00722,19900602,20230525,1135,51.7986,10.6183,Brocken,Sachsen-Anhalt
00853,19900602,20230525,416,50.7913,12.872,Chemnitz,Sachsen
00880,19900115,20230525,69,51.7759,14.3168,Cottbus,Brandenburg
00891,19821215,20230525,5,53.8713,8.706,Cuxhaven,Niedersachsen
00963,19930301,20230525,38,52.5881,8.3424,Diepholz,Niedersachsen
01001,19900602,20230525,97,51.6451,13.5747,Doberlug-Kirchhain,Brandenburg
01048,19900602,20230525,228,51.1278,13.7543,Dresden-Klotzsche,Sachsen
01078,19900701,20230525,37,51.296,6.7686,Duesseldorf,Nordrhein-Westfalen
01262,19920519,20230525,446,48.3477,11.8134,Muenchen-Flughafen,Bayern
01270,19900602,20230525,316,50.9829,10.9608,Erfurt-Weimar,Thueringen
01303,19900701,20230525,150,51.4041,6.9677,Essen-Bredeney,Nordrhein-Westfalen
01346,19900701,20230525,1486,47.8748,8.0038,Feldberg/Schwarzwald,Baden-Wuerttemberg
01358,19900602,20230525,1213,50.4283,12.9536,Fichtelberg,Sachsen
01420,19900627,20230525,100,50.0259,8.5213,Frankfurt/Main,Hessen
01443,19900701,20230525,237,48.0232,7.8343,Freiburg,Baden-Wuerttemberg
01468,19900701,20230525,797,48.4538,8.409,Freudenstadt,Baden-Wuerttemberg
01544,19900602,20230525,47,52.5129,11.3942,Gardelegen,Sachsen-Anhalt
01550,19900813,20230525,719,47.483,11.0621,Garmisch-Partenkirchen,Bayern
01612,19900602,20230525,311,50.8812,12.1289,Gera-Leumnitz,Thueringen
01639,19900701,20230525,203,50.6017,8.6439,Giessen/Wettenberg,Hessen
01684,19900602,20230525,239,51.1621,14.9506,Goerlitz,Sachsen
01691,19900701,20230525,167,51.5002,9.9507,Goettingen,Niedersachsen
01766,19900701,20230525,48,52.1344,7.6969,Muenster/Osnabrueck,Nordrhein-Westfalen
01975,19900701,20230525,11,53.6332,9.9881,Hamburg-Fuhlsbuettel,Hamburg
02014,19900701,20230525,55,52.4644,9.6779,Hannover,Niedersachsen
02115,19900701,20230525,4,54.175,7.892,Helgoland,Schleswig-Holstein
02171,19900701,20230525,272,50.852,9.7377,Hersfeld Bad,Hessen
02261,19900701,20230525,565,50.3123,11.876,Hof,Bayern
02290,19900701,20230525,977,47.8009,11.0108,Hohenpeissenberg,Bayern
02483,19900701,20230525,839,51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen
02597,19900701,20230525,282,50.224,10.0792,Kissingen Bad,Bayern
02667,19900701,20230525,92,50.8645,7.1575,Koeln-Bonn,Nordrhein-Westfalen
02712,19900705,20230525,428,47.6952,9.1307,Konstanz,Baden-Wuerttemberg
02794,19900622,20230525,40,52.9362,12.4093,Kyritz,Brandenburg
02812,19950110,20230525,156,48.3647,7.828,Lahr,Baden-Wuerttemberg
02907,19900718,20230525,7,54.7903,8.9514,Leck,Schleswig-Holstein
02925,19900604,20230525,356,51.3932,10.3123,Leinefelde,Thueringen
02928,19970411,20230525,138,51.3151,12.4462,Leipzig-Holzhausen,Sachsen
