lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,sigma.1,sigma.2,sigma.3
-278392.25554402434,0.8923477118708716,0.16280866816090925,5.0,31.0,0.0,278395.04950632784,4.731801049290034,1.8445126169219466,-0.8891826711197983,0.2274947908286761,0.5374920950202358,0.40233541035054704,-0.24125990098962388
-278390.55944325094,0.9943912046246343,0.16280866816090925,4.0,19.0,0.0,278392.759606199,4.73456564302514,1.8454027252763463,-0.8947558291771237,0.22514316242054352,0.5351279104464397,0.4045979705129116,-0.240592278028688
-278396.1123530432,0.5106784947545913,0.16280866816090925,3.0,7.0,0.0,278399.33989749127,4.732899374674215,1.850496734141984,-0.8948608172309639,0.23212240826429872,0.5359481447296301,0.4116926901774417,-0.24379293450600606
-278392.3657550021,0.8103834140334488,0.16280866816090925,3.0,7.0,0.0,278399.1726347849,4.730692726382637,1.8477812283115223,-0.9003556032307168,0.22748557858635798,0.5344437980831631,0.40484499868271817,-0.2447866167154432
-278391.6405730115,0.9906996520092805,0.16280866816090925,4.0,23.0,0.0,278394.7380755123,4.736462777335906,1.857940486615064,-0.9039405392258882,0.22702228476774672,0.5382652539850585,0.40756384197397977,-0.24294503655510163
-278395.85046062386,0.8651163557442525,0.16280866816090925,3.0,7.0,0.0,278397.67862184596,4.737214002848618,1.8632281764435996,-0.8935829258518297,0.22507083830563634,0.5352988839583879,0.406130591423722,-0.2415148921065362
-278395.33429093234,0.9968022984865665,0.16280866816090925,3.0,7.0,0.0,278399.07175119413,4.737065586571103,1.8423657879872122,-0.9009256551825506,0.23025435819175288,0.5362982346146221,0.40701922323163586,-0.2435670001304766
-278394.97141059383,0.9992805600849878,0.16280866816090925,3.0,15.0,0.0,278397.7640475863,4.73234428642425,1.864961396897845,-0.899876481435483,0.22445946238301323,0.5352525118614252,0.40808408559909165,-0.24335415701452684
-278391.9100278633,0.96496011351748,0.16280866816090925,2.0,3.0,0.0,278396.14260417677,4.7333668836462754,1.861595091806004,-0.90535107690285,0.22390299809456074,0.5350288728837591,0.4059374509843645,-0.2417259994973286
-278393.4178254608,0.8589729261712675,0.16280866816090925,4.0,15.0,0.0,278397.2815501207,4.742600277533879,1.864309695721384,-0.9112131777082761,0.23002486646142722,0.5374604520038531,0.40849934992500453,-0.2461821997196857
-278396.673393683,0.8821668733115181,0.16280866816090925,4.0,23.0,0.0,278399.7366565106,4.730606215267704,1.8344532656997652,-0.8824688756451192,0.23337630098958986,0.5342073832860693,0.39743487680796014,-0.23591526967327142
-278394.2433056412,0.9915192507711329,0.16280866816090925,3.0,15.0,0.0,278400.44825276505,4.730850066750574,1.8503009222851101,-0.8987103279696544,0.219285937526826,0.5341366602359104,0.40716415646205606,-0.2437052000898209
-278394.02983168204,0.9977024075785047,0.16280866816090925,4.0,15.0,0.0,278395.65741839854,4.740976905709005,1.8571970021504447,-0.9026790171991727,0.21935636877834605,0.5365724591693923,0.4086024076743785,-0.24500367757551764
-278392.6853362339,0.9345484259479511,0.16280866816090925,3.0,7.0,0.0,278396.1320137039,4.739879742771262,1.8595847597972164,-0.908013503168372,0.22917687686529276,0.5370414801944156,0.40905679922951294,-0.2441893508630316
-278391.7670400935,0.9276959110399472,0.16280866816090925,2.0,7.0,0.0,278395.29636964714,4.737819874843302,1.8626055415159495,-0.9054056684050066,0.22499809073977292,0.5348451589701333,0.40901708273308657,-0.2436201427696395
-278392.8301501233,0.7564897978167245,0.16280866816090925,3.0,15.0,0.0,278397.5928097245,4.733175287642488,1.857909057707744,-0.9048002592914586,0.22657018346779426,0.5334421473984432,0.4025154316559578,-0.2391603078672904
-278394.3591375501,0.9393440300672126,0.16280866816090925,3.0,15.0,0.0,278398.15184524003,4.746036622934009,1.8497373817743243,-0.8911509109424429,0.22219539234929161,0.5384804300758641,0.4039331260697612,-0.24071901754714495
-278394.0044076523,0.9929928728334152,0.16280866816090925,3.0,7.0,0.0,278396.4842609655,4.744237359024048,1.8535075788590445,-0.8937366959813938,0.2215513734008199,0.5352901559402548,0.4017210631552013,-0.2374346542285063
-278393.8289090547,0.9145263806627664,0.16280866816090925,3.0,15.0,0.0,278399.2761423377,4.740660157680896,1.8369365319144602,-0.88498006552374,0.22909099379281853,0.5369783380070886,0.40258924184524925,-0.2398814721826327
-278391.8634516025,0.9884561490282914,0.16280866816090925,3.0,7.0,0.0,278394.4857021606,4.732454953343711,1.8442810741372193,-0.8882650305433721,0.22243584657857343,0.5355783708140784,0.40354351060728333,-0.23997939262915152
-278392.28997237055,0.8191993964133476,0.16280866816090925,3.0,15.0,0.0,278396.17333256104,4.7277771886827935,1.8430224636944628,-0.8944976915772005,0.22876919811052931,0.5375305379367915,0.4033709072019895,-0.2405935732236464
-278392.5011001822,0.882413061085082,0.16280866816090925,4.0,23.0,0.0,278396.63315201236,4.729303463411529,1.8532727005188034,-0.901653812512184,0.2252726549804347,0.5350594971869356,0.40896514028004816,-0.24631359879229286
-278392.0466765659,0.7273909673959992,0.16280866816090925,3.0,15.0,0.0,278396.6800151256,4.735272397231322,1.8504827347863533,-0.8975259963544396,0.22504844981150815,0.5368360858517519,0.40192516777445453,-0.24204769161815348
-278391.13263327075,0.9728096357685018,0.16280866816090925,3.0,7.0,0.0,278395.016603998,4.735186146920499,1.854026523118062,-0.8992441805387417,0.22480515129846204,0.5364742452109141,0.4051923212093832,-0.24354741522152148
-278392.8913548417,0.9902781602688534,0.16280866816090925,3.0,7.0,0.0,278393.77206932113,4.736456361090997,1.8538288790609134,-0.9009257242703647,0.22709569270356986,0.5349752323003175,0.40142047476926057,-0.23722273938547508
-278397.83557389275,0.9387744833255779,0.16280866816090925,4.0,15.0,0.0,278399.88559459004,4.737607469085521,1.8641361470117987,-0.9080177691312817,0.2350928747204448,0.5395910107168813,0.4079221203726307,-0.24370419134714205
-278391.6574217656,1.0,0.16280866816090925,4.0,23.0,0.0,278399.39159080415,4.735252208372568,1.8445890951945023,-0.8909492701270234,0.22832732907641,0.5379673084858069,0.40140124506596647,-0.23912551745040114
-278391.04327155073,0.9886797677742569,0.16280866816090925,4.0,23.0,0.0,278392.85402851447,4.736190034729051,1.8498507441489254,-0.9013399529834022,0.22425531464417,0.536861879865791,0.4056037220982512,-0.24287264021286648
-278393.11997134227,0.8007641384401684,0.16280866816090925,4.0,15.0,0.0,278396.8899717457,4.738220399520771,1.8677832053703303,-0.9063619602617319,0.22528352612414465,0.5364673577335888,0.4054922913259627,-0.24057479594857065
-278392.6660432557,0.9330442796836724,0.16280866816090925,3.0,15.0,0.0,278397.36256747844,4.738959098515319,1.8547586279294181,-0.8998618468679357,0.22703588685663667,0.5352774154490386,0.4005375736544674,-0.2375375301290939
-278392.6567053649,0.9857033442005112,0.16280866816090925,4.0,31.0,0.0,278396.5405489054,4.7297726448763076,1.8346192638761398,-0.8810370621434814,0.22452659504702005,0.5359326567195779,0.4050915667081129,-0.24012378556830657
-278393.6171763632,0.9350982101340298,0.16280866816090925,3.0,15.0,0.0,278399.34619936574,4.735019158160968,1.8352704113316176,-0.8837237000264511,0.2207744648198765,0.5350792845997727,0.4000323059089869,-0.23648970881398093
-278391.60854030267,0.9081339989583511,0.16280866816090925,3.0,7.0,0.0,278395.3709920133,4.729453662938767,1.8387427494761275,-0.8875213302128072,0.22709482686247287,0.5365740491116882,0.40312496607673515,-0.23834558608123763
-278391.31919073575,0.9452485785315564,0.16280866816090925,4.0,23.0,0.0,278393.8746803565,4.738906700170279,1.8533225938442577,-0.8999629469223267,0.22804645098566537,0.5351383899463812,0.40684368867920606,-0.2439976836248959
-278394.268237118,0.9535951648074857,0.16280866816090925,4.0,15.0,0.0,278396.37581466115,4.727259954353643,1.8373773502086888,-0.8827787064149288,0.224789973626381,0.5332540064920002,0.39793403932041244,-0.23436231326569296
-278396.4703961448,0.9045648347891516,0.16280866816090925,3.0,7.0,0.0,278399.9180819767,4.73498053551209,1.8257578055902906,-0.877563271723624,0.22339224106365016,0.5390201704795409,0.4038300467318045,-0.24041051784054082
-278393.41832743894,0.985074543092841,0.16280866816090925,3.0,7.0,0.0,278397.4395249551,4.730697574919486,1.8388070064153048,-0.8815500750750747,0.2298424096522907,0.533780052360914,0.4005309020601194,-0.23661393036516304
-278391.0453620402,0.9985254482869147,0.16280866816090925,3.0,15.0,0.0,278395.52828445926,4.734733991488999,1.8448654994385094,-0.8889373366117898,0.22686901324956282,0.5355379081227459,0.4015391786294448,-0.2381733464981914
-278391.20526435587,0.9848079475542142,0.16280866816090925,5.0,31.0,0.0,278392.1584296444,4.734052909853389,1.8512038190437257,-0.8984709131811609,0.2288850255937938,0.5360639556008988,0.40796987733150997,-0.2444778421774801
-278392.7614201023,0.9005603971051458,0.16280866816090925,4.0,23.0,0.0,278394.6644655616,4.7360394220489965,1.8578798218549983,-0.9105960013010734,0.2226621916921853,0.536483446633782,0.4050935804364132,-0.24219618473915666
-278394.05519792065,0.9877267626813236,0.16280866816090925,3.0,7.0,0.0,278394.8198540228,4.734577220254239,1.8581144650907024,-0.9119345404359736,0.22305393697246378,0.5344242842578698,0.4024676702527303,-0.24198204944227195
-278393.24813910516,0.9174951729298026,0.16280866816090925,3.0,7.0,0.0,278396.81910981564,4.740176950100139,1.8659090953334965,-0.9044595809423078,0.22626199020824583,0.5383074669553187,0.4096801495140354,-0.24472474537011352
-278393.7874851486,0.7039107378100232,0.16280866816090925,3.0,15.0,0.0,278400.1408700645,4.743003732050123,1.8519284008776236,-0.9044251974523141,0.22710164977016853,0.5359931732570122,0.4088059983320991,-0.24453090769461788
-278394.78666395537,0.9987398031737388,0.16280866816090925,3.0,7.0,0.0,278396.4160598738,4.73516912797759,1.8652192793247926,-0.9065096570382798,0.22200757839481783,0.5342535987342037,0.40409133696417215,-0.2387009243761647
-278396.43680755503,0.5718732145319076,0.16280866816090925,3.0,7.0,0.0,278404.4537235179,4.744014627284012,1.8593870183087309,-0.9113280578601093,0.22364465321445998,0.5394122098427093,0.41015333094950773,-0.24360522243774796
-278396.80596317886,0.9756850337224884,0.16280866816090925,4.0,15.0,0.0,278403.93458898185,4.746509212540551,1.854641136842699,-0.8946624501016563,0.22564411621329183,0.5354385543336496,0.40528719180916783,-0.2370253754481013
-278392.5977185646,0.8622196534314824,0.16280866816090925,4.0,15.0,0.0,278400.2909127763,4.7373865758531535,1.850006414460376,-0.9022583055372381,0.2217947988662411,0.5360551081674606,0.4049399433212973,-0.24027821366210914
-278393.84384467435,0.9915589158862999,0.16280866816090925,4.0,15.0,0.0,278396.06216707546,4.737896911126175,1.8534667204547974,-0.9042104256108875,0.22537552566435826,0.537121967187304,0.4123308086520714,-0.24642525998384243
-278395.1635848451,0.9874463375494343,0.16280866816090925,4.0,15.0,0.0,278397.64640261675,4.741049199340781,1.8603108490340483,-0.8951044454570152,0.22468243506767416,0.5358937516599195,0.4000139473754695,-0.2361744089461975
-278395.57373535755,0.9704450823445111,0.16280866816090925,3.0,15.0,0.0,278402.1775028669,4.744574645865773,1.8423897594369296,-0.8895110230753428,0.22676992735194845,0.5359764284536676,0.39799166779859907,-0.23603484054796434
-278392.38712991273,0.9361930810665288,0.16280866816090925,3.0,7.0,0.0,278396.93623555376,4.729923438670168,1.847497261459901,-0.8910292738377361,0.22553385727317624,0.5364950276542348,0.40743145608621273,-0.2435358136453009
-278391.8883491422,0.885581390329889,0.16280866816090925,3.0,15.0,0.0,278396.97289292683,4.727226724780567,1.8390482176254064,-0.8895390904403206,0.22920023391150462,0.5363727583069122,0.40346994090881,-0.24011577467952971
-278393.3718747888,0.7517869511828946,0.16280866816090925,4.0,15.0,0.0,278396.9521831836,4.7338527397183645,1.8394493520795079,-0.8836158161288783,0.22667233807201503,0.5344740535980198,0.3991421985878925,-0.23876396512953088
-278391.91810954735,0.9957348134818523,0.16280866816090925,4.0,15.0,0.0,278394.0282844309,4.73153504248197,1.8434743395655928,-0.8928828984057484,0.2298304877782527,0.5345385619651557,0.406296561778846,-0.24146638081584756
-278394.49401909596,0.9734085251926147,0.16280866816090925,3.0,7.0,0.0,278396.1506161152,4.729969547220042,1.8489316693498377,-0.890818656150306,0.22881360669192605,0.5359657155045833,0.397948127783902,-0.2361053955196103
-278393.51243884733,0.8703373861268849,0.16280866816090925,3.0,7.0,0.0,278399.2542852883,4.736263793647667,1.84393509638368,-0.8875026002863579,0.22294799118771075,0.5344908048696472,0.3995093753922469,-0.23893819781134926
-278390.9881900891,0.9999742975931661,0.16280866816090925,2.0,7.0,0.0,278395.04974857747,4.734363072169202,1.8439208880730489,-0.8889950807217927,0.22595423590754268,0.5361251472735634,0.4046353710455492,-0.23928977649197936
-278392.62754076143,0.8826867895475986,0.16280866816090925,3.0,15.0,0.0,278394.7401282595,4.727740999977982,1.8419596187641567,-0.8859636855141481,0.22918302678515978,0.5349714221130127,0.40444601128290036,-0.241914887559092
-278393.28831432795,0.8656589214537714,0.16280866816090925,4.0,15.0,0.0,278396.0609941505,4.739774735198631,1.8590623300246445,-0.8977609539665674,0.22891750898044308,0.5374377160400716,0.4029460939829009,-0.2383973727931725
-278393.7445186976,0.908681882255774,0.16280866816090925,3.0,15.0,0.0,278395.9820711389,4.736292450679195,1.8389316232304895,-0.8917162230908019,0.22157068639761374,0.5364982042851288,0.40619549440396696,-0.24035089816895244
