lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,sigma.1,sigma.2,sigma.3
-280866.9750529658,0.9897957911763725,0.20308665880745685,3.0,15.0,0.0,280873.0644710143,4.73826408617534,1.8373547794377931,-0.8763904543728442,0.2249855234032456,0.5379860349261032,0.40438482186580477,-0.23584177545847598
-280864.9772505707,1.0,0.20308665880745685,4.0,15.0,0.0,280868.80717182887,4.7263608516105675,1.8377353014839382,-0.8881118587077708,0.2246663510653373,0.5360277461906202,0.39897367797014843,-0.23819166291985208
-280863.2976815038,0.8266445950115145,0.20308665880745685,3.0,15.0,0.0,280870.552304182,4.743254534628203,1.8477663824851023,-0.8915086900299992,0.22485404290867336,0.5380252896015681,0.40361655760696935,-0.24010074177083973
-280863.59922368644,0.9813673550896398,0.20308665880745685,4.0,15.0,0.0,280866.22138830327,4.739551241311903,1.857889932559544,-0.907677821611956,0.22537103629282582,0.5351555099837095,0.4037492244225777,-0.24084178383471472
-280863.0663587259,0.8208215357145718,0.20308665880745685,3.0,7.0,0.0,280869.0436735798,4.733713217633757,1.8534962494643432,-0.9014591926710758,0.22563043323630178,0.5353999371036108,0.4040593786479085,-0.24266695430477817
-280865.1592806871,0.9608725716037491,0.20308665880745685,2.0,7.0,0.0,280867.92563603347,4.731529334166878,1.8557795645176152,-0.9055693611246404,0.23117939804234275,0.5352341558458825,0.4047266551188604,-0.2423863085394956
-280864.9869727091,0.8958518729075925,0.20308665880745685,4.0,15.0,0.0,280868.0754010265,4.739874122709606,1.856272459311995,-0.9004421129473527,0.21943505173693922,0.5343152901537055,0.40441982537769927,-0.24143529736131927
-280864.7465810625,0.8619902008567862,0.20308665880745685,3.0,7.0,0.0,280867.6464562089,4.740241016980036,1.8572049039185001,-0.8966962691477504,0.2229981549742364,0.5328777301262926,0.40417636119251016,-0.24174907693714898
-280862.55205939687,0.998890482299781,0.20308665880745685,4.0,31.0,0.0,280867.5675412857,4.732435413822508,1.8335137956353869,-0.8835053520900966,0.22968703363000403,0.5349225074223399,0.4017324340726543,-0.23904095296636674
-280864.9015814515,0.8996769973313248,0.20308665880745685,3.0,7.0,0.0,280865.6994638968,4.7338205159844495,1.8332221457706799,-0.8771205447604075,0.23060242764589878,0.5361878845705682,0.40495344869846084,-0.2402897721919851
-280868.06188270595,0.9102621593893666,0.20308665880745685,3.0,7.0,0.0,280870.1866738496,4.7396518705349315,1.8362932008018749,-0.8738722945760476,0.22936737551815936,0.5334765030336209,0.4054110184927316,-0.2390155146283346
-280869.4924021228,0.9906908450743764,0.20308665880745685,3.0,7.0,0.0,280871.2542797381,4.739451075024567,1.8349389853387057,-0.871636922944678,0.23099289253759672,0.5334195266184507,0.4047001245418426,-0.23887307109207542
-280867.7713971374,0.9678192846522198,0.20308665880745685,4.0,15.0,0.0,280874.37896122667,4.742871285700112,1.848100537059735,-0.8842893425002388,0.2270017870991027,0.5348382253859401,0.40901082184549964,-0.24269728855816808
-280871.3333552997,0.8913882183859645,0.20308665880745685,3.0,15.0,0.0,280878.39850289293,4.733737507585513,1.8447555062058265,-0.8839446132456902,0.226646225934032,0.5308326216226372,0.4119424582309508,-0.24336995928084182
-280869.24866168486,0.9824012306959551,0.20308665880745685,3.0,7.0,0.0,280875.84797038743,4.736806575850764,1.8324290047067686,-0.8968646473973952,0.22603661645830087,0.5378273044429939,0.4017449011039383,-0.24245914771141008
