lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,sigma.1,sigma.2,sigma.3
-2447.35891143026,0.9915955153196038,0.2549501470831759,4.0,31.0,0.0,2450.739192118886,5.6258771032705415,2.2623201658963406,-0.75059259740955,0.3635946756983677,0.42903708974725574,0.5424704429748084,-0.49814758542731274
-2447.8817506759856,0.9652745020664487,0.2549501470831759,4.0,15.0,0.0,2450.803384099136,5.527383927315298,2.2146754062076663,-0.8095461238680122,0.27279157955829336,0.38993183192442743,0.4936359421463324,-0.43917583616363454
-2447.1016695491517,0.8976748654536886,0.2549501470831759,2.0,7.0,0.0,2449.17034525421,5.5445325077332015,2.2388940025828425,-0.6915819247128804,0.2708858066461362,0.4003155279188665,0.5171712802048647,-0.4331828294889331
-2448.7416472759396,0.845283079731384,0.2549501470831759,4.0,15.0,0.0,2450.341836726459,5.599853160673105,1.973514014443062,-0.59574034621834,0.37597218032814805,0.4484760034992631,0.5245128342716785,-0.4664932149256086
-2449.493943066482,0.991946434862972,0.2549501470831759,4.0,15.0,0.0,2450.9423277125215,5.4890592466443175,1.9750184337757106,-0.6007463006903734,0.22464254450374588,0.37153729680112485,0.4763245582035328,-0.41755046613954283
-2447.917528893818,0.9996198344914224,0.2549501470831759,4.0,31.0,0.0,2452.512290845804,5.547343170781782,1.9976065161961363,-0.5990730403846116,0.38213263983074136,0.4352679095384422,0.5575474072113604,-0.5020706786032882
-2445.4626557586425,0.9979837434144206,0.2549501470831759,4.0,15.0,0.0,2448.8266604715454,5.566181002495851,1.9819520030586697,-0.5515668219608618,0.2318193043956629,0.3986688403397345,0.48735637859554937,-0.431965980631139
-2447.992395679961,0.9316458939581977,0.2549501470831759,4.0,15.0,0.0,2449.189984494236,5.544911825267727,1.8797714788703805,-0.36917701218953114,0.36321234854190804,0.4146977186265298,0.5331460264586395,-0.4239984846947936
-2446.987994181826,0.982289526740971,0.2549501470831759,4.0,15.0,0.0,2449.497279122624,5.537108033159239,2.0555084272966804,-0.5843979312605935,0.24650617477213826,0.4197063979745906,0.5417924091404844,-0.4304562244494395
-2450.676698937627,0.9416710854025072,0.2549501470831759,3.0,11.0,0.0,2452.525742846661,5.549053385207067,2.080065821580921,-0.6697984797328804,0.3493052133590305,0.46630217774090454,0.4855313764518841,-0.4664990634019864
