lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma.1,sigma.2,sigma.3
-2290.2589743363496,0.9985832232305636,0.4407416426563143,4.0,15.0,0.0,2299.2296250529043,4.392761833072365,1.1155750489931056,-0.08781842784940314,0.3297562665156033,0.2960999042561659,-0.16981208563250977
-2290.6779359046313,0.730910206737868,0.4407416426563143,2.0,7.0,0.0,2294.4168774055447,4.4828010549199595,1.162282443919041,-0.1429406308202048,0.32680812631743855,0.30348234826935266,-0.12494701989720672
-2293.580649276566,0.8574248890864677,0.4407416426563143,3.0,7.0,0.0,2295.3199256251,4.504253684105266,1.0752281489696993,-0.038274782055954706,0.3039043398030129,0.284336334807408,-0.18014510808427636
-2294.3990458241365,0.9513187649878644,0.4407416426563143,3.0,15.0,0.0,2299.91984544622,4.4361375553380675,1.2564819785248047,-0.28708177632628307,0.34945502985071925,0.29386102435873396,-0.18803923295523856
-2292.6589711683364,0.9878669091082269,0.4407416426563143,3.0,7.0,0.0,2297.6379853926333,4.4613464501391915,1.1926482784227133,-0.13458409538309435,0.33940000911898904,0.31506032426997216,-0.11668452702436315
-2291.5803038202203,0.92111155027069,0.4407416426563143,4.0,15.0,0.0,2295.523083566296,4.439378523058041,1.1475542945593797,-0.13383160984406836,0.34301462242724357,0.3086073337440238,-0.12128077485050637
-2293.9863844435217,0.9402947009177105,0.4407416426563143,3.0,7.0,0.0,2297.181259104757,4.367203328164728,1.0727326975894533,-0.11220387979111052,0.24099460666645386,0.297626741318309,-0.1481481755114448
-2290.511109774544,0.9663843330304746,0.4407416426563143,3.0,15.0,0.0,2295.4368801850783,4.42272271217932,1.1361474872733033,-0.13214473912238917,0.33859785265737535,0.35232384457597693,-0.18082925479333295
-2291.7405418412163,0.9045570336839603,0.4407416426563143,4.0,15.0,0.0,2296.1532215707102,4.367917405652415,0.9558809399675946,0.00639134115506116,0.2932321059453651,0.2537248597467165,-0.13940176818984748
-2291.996382787939,0.9322326980704071,0.4407416426563143,3.0,7.0,0.0,2296.619851677775,4.431621646913219,0.9784220831201575,0.06496898075649912,0.29652694207919555,0.31626882766634773,-0.166665533932065
-2290.425813169779,0.9728916650765036,0.4407416426563143,3.0,15.0,0.0,2294.516714935308,4.429980441980372,1.2849802564907566,-0.26440437208692014,0.31519985628425057,0.32105738524516275,-0.1641612501455407
-2289.8455387312943,0.9938701390194834,0.4407416426563143,3.0,7.0,0.0,2290.948390113808,4.463166187984575,1.1848738886940366,-0.15924525458415414,0.3163261784461805,0.3579849175832901,-0.21628404171055243
-2289.824887751882,0.9524384819726465,0.4407416426563143,3.0,15.0,0.0,2292.3579496682632,4.463639965187722,1.1463235395296207,-0.13066686854409293,0.32370459229554455,0.3562281382612001,-0.19451863328670307
-2289.6729521701677,0.9764829075898817,0.4407416426563143,3.0,15.0,0.0,2291.9197097177625,4.46050158928532,1.2375454644149675,-0.21243395229848974,0.33331539111987424,0.3443390350728371,-0.1808538267508667
-2292.4163284876945,0.6805702177656763,0.4407416426563143,3.0,7.0,0.0,2293.9402217056886,4.494723011148046,1.254655848806256,-0.14706959253472343,0.3479536252953575,0.3350758700330469,-0.18275951211265007
-2290.2096256778136,0.9183693887022947,0.4407416426563143,4.0,15.0,0.0,2295.0588975896053,4.426268256872417,1.265233910968778,-0.2491242353758969,0.29255656335911495,0.35725324523006674,-0.182101735332471
-2290.2211397683323,0.9066330754998364,0.4407416426563143,2.0,3.0,0.0,2291.389494386256,4.419240924530227,1.287022409270976,-0.24488333163444803,0.30359211697258526,0.3479847690934038,-0.18616243446411398
-2291.9278736094766,0.9685884583626692,0.4407416426563143,3.0,7.0,0.0,2293.2053919664772,4.470485110315991,1.249939141746372,-0.2858732523943281,0.30835802122702644,0.2917988172741148,-0.15269275028074564
-2291.354327793829,0.9925321605753326,0.4407416426563143,3.0,7.0,0.0,2293.2409956272268,4.466926758938187,1.126752860167967,-0.13314918304217058,0.3237433433604872,0.36997185927490467,-0.21887294474050095
-2290.654636690746,0.8263079589895589,0.4407416426563143,3.0,7.0,0.0,2294.039410083369,4.428936112287579,1.2132109621103326,-0.1653632605896504,0.3351659158516514,0.3588872967597969,-0.18658781838831134
-2290.218931318755,1.0,0.4407416426563143,3.0,7.0,0.0,2291.4130636178793,4.4693592199837235,1.2099962418718913,-0.19461817018413607,0.3048557648569124,0.34838606807121897,-0.22108454109623496
-2289.109932449251,0.9183170382825888,0.4407416426563143,2.0,7.0,0.0,2291.693628679928,4.43632230170849,1.1972118083511734,-0.20906499328195471,0.3224606448277512,0.32588854252266036,-0.16349687676678937
-2290.5845077210092,0.7906670134195153,0.4407416426563143,2.0,7.0,0.0,2293.0342071992904,4.462216930034759,1.174308296732518,-0.20442220176987896,0.3208314294627984,0.3511502900733866,-0.170430276565806
